,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,name,siren,in pipe ?,web,ban,linke
186,186,186,186,GFP (GESTION FORMATION PREVOYANCE),830268827,Not in Pipe,https://www.gfpfrance.com/,False,https://fr.linkedin.com/company/gfpfrance
187,187,187,187,FM GLOBAL,504806191,Not in Pipe,https://www.fmglobal.fr/,False,https://fr.linkedin.com/company/fm-global
188,188,188,188,AGIRC-ARRCO,302927439,Not in Pipe,http://www.agirc-arrco.fr/,False,https://fr.linkedin.com/company/agirc-arrco
189,189,189,189,MUTUELLE JUST,783864150,In Pipe,https://www.just.fr/,False,https://www.linkedin.com/company/mutuelle-just
190,190,190,190,EDOX SAS,432448827,Not in Pipe,https://www.edox.com/,False,https://fr.linkedin.com/company/edox-sas
191,191,191,191,KOHLER ASSURANCES,351045919,Not in Pipe,https://www.kohler.francecourtage.fr/mentions-legales/,False,https://fr.linkedin.com/company/kohler-assurances
192,192,192,192,IXI EXPERTISES GREGORI,444287684,Not in Pipe,https://ixi-groupe.com/,False,erreur
193,193,193,193,GROUPE ASSU 2000,501542336,Not in Pipe,https://www.groupeassu2000.fr/,False,https://fr.linkedin.com/company/groupe-assu-2000
194,194,194,194,UNION MUTUALISTE RETRAITE,442294856,In Pipe,https://umr-retraite.fr/,False,https://fr.linkedin.com/company/union-mutualiste-retraite-umr
195,195,195,195,MGP (MUTUELLE GENERALE DE LA POLICE),775671894,In Pipe,erreur,False,https://fr.linkedin.com/company/la-mgp-la-mutuelle-des-forces-de-s%C3%A9curit%C3%A9
196,196,196,196,MGEN,839162922,Not in Pipe,http://www.mgen.fr/,False,https://fr.linkedin.com/company/mgen
197,197,197,197,MGP (MUTUELLE GENERALE DE LA POLICE),775671894,In Pipe,erreur,False,https://fr.linkedin.com/company/la-mgp-la-mutuelle-des-forces-de-s%C3%A9curit%C3%A9
198,198,198,198,GROUPAMA,315213751,Not in Pipe,https://www.groupama.fr/,False,https://fr.linkedin.com/company/groupama
199,199,199,199,MMA ASSURANCES,555850411,Not in Pipe,https://www.mma.fr/,False,https://fr.linkedin.com/company/mma-insurance
200,200,200,200,SAINT-CHRISTOPHE ASSURANCES,555850411,Not in Pipe,https://www.saint-christophe-assurances.fr/,False,https://fr.linkedin.com/company/saint-christophe-assurances
201,201,201,201,SWISS LIFE FRANCE,441475951,Not in Pipe,https://swisslife.fr/,False,https://fr.linkedin.com/company/swiss-life-france
202,202,202,202,BCA EXPERTISE,775723596,Not in Pipe,https://www.bca.fr/,False,https://fr.linkedin.com/company/bca-expertise
203,203,203,203,ASSURANCES ET MUTUELLES DU SUD,539925016,Not in Pipe,https://www.societe.com/societe/assurances-et-mutuelles-du-sud-539925016.html,True,https://fr.linkedin.com/company/assurances-et-mutuelles-du-sud
204,204,204,204,ETHIAS,523746360,Not in Pipe,https://www.ethias.be/content/campaigns/ethias-campaigns/fr/lp-choix-ib.html?amc_icid=ethias_fr_homepage_btn-keyproduct_lp-choix-ib,False,https://fr.linkedin.com/company/ethias-s.a.
205,205,205,205,GROUPE IRCEM,430206581,Not in Pipe,https://www.ircem.com/,False,https://fr.linkedin.com/company/groupe-ircem
206,206,206,206,KLESIA,822768941,Not in Pipe,https://www.klesia.fr/,False,https://fr.linkedin.com/company/klesia
207,207,207,207,DARVA,437698632,Not in Pipe,http://www.darva.com/,False,https://fr.linkedin.com/company/corporatespecialrisks
208,208,208,208,FONDS DE GARANTIE  FGAO/FGTI,379155468,Not in Pipe,https://www.fondsdegarantie.fr/,False,https://fr.linkedin.com/company/fonds-de-garantie-fgao-fgti
209,209,209,209,MBA MUTUELLE,800820029,Not in Pipe,https://www.mbamutuelle.com/,False,https://fr.linkedin.com/company/mba-mutuelle
210,210,210,210,THELEM ASSURANCES,494107014,Not in Pipe,https://www.thelem-assurances.fr/,False,https://fr.linkedin.com/company/thelem-assurances
211,211,211,211,REUNICA,394816508,Not in Pipe,http://www.reunica.com/,False,https://fr.linkedin.com/company/reunica
212,212,212,212,ACC,845021179,Not in Pipe,https://www.a-c-c.fr/,False,https://fr.linkedin.com/company/acc83
213,213,213,213,DUROC & CO,841913411,Not in Pipe,https://www.duroc.ma/en/,False,https://co.linkedin.com/company/duroc-sa
214,214,214,214,GAN PATRIMOINE,457504694,In Pipe,https://www.ganpatrimoine.fr/,False,https://fr.linkedin.com/company/gan-patrimoine-groupama-group-
215,215,215,215,MUTUELLE UNEO,509535563,Not in Pipe,https://www.groupe-uneo.fr/,False,https://fr.linkedin.com/company/mutuelleuneo
216,216,216,216,AIG,482538675,Not in Pipe,http://www.aig.fr/fr/,False,https://fr.linkedin.com/company/aig
217,217,217,217,ACC,845021179,Not in Pipe,https://www.a-c-c.fr/,False,https://fr.linkedin.com/company/audit-conseil-comptabilit%C3%A9-acc
218,218,218,218,MUTEX OFFICIEL,382920312,Not in Pipe,https://www.mutex.fr/,False,https://fr.linkedin.com/company/mutex-officiel
219,219,219,219,ACS SOLU,881897607,Not in Pipe,https://www.ameli.fr/assure/droits-demarches/difficultes-acces-droits-soins/complementaire-sante/complementaire-sante-solidaire-qui-peut-en-beneficier-et-comment,False,https://fr.linkedin.com/company/btn-solu-es
220,220,220,220,AMELLIS MUTUELLES,775597768,Not in Pipe,https://amellis.fr/,False,https://fr.linkedin.com/company/amellis-mutuelles
221,221,221,221,APRIL ASSISTANCE,429133580,Not in Pipe,https://www.april.fr/,False,https://fr.linkedin.com/company/april-assurances
222,222,222,222,CAT EVM,843660416,Not in Pipe,https://www.cat.com/fr_FR.html,False,https://www.linkedin.com/company/ethereum-cat-herders
223,223,223,223,DIOT CREDIT,393225214,In Pipe,https://www.diot-credit.com/,False,https://www.linkedin.com/company/diotcredit
224,224,224,224,GROUPE NOVAMUT,389113143,Not in Pipe,https://www.novamut.fr/,False,https://fr.linkedin.com/company/groupe-novamut
225,225,225,225,MUTANT MEDIA,850480203,Not in Pipe,https://mutantgenemedia.com/,False,https://fr.linkedin.com/company/mutant-media
226,226,226,226,GROUPE CET,750190399,Not in Pipe,https://www.groupecet.com/accueil-cet-construction,False,https://fr.linkedin.com/company/groupe-cet
227,227,227,227,INTER MUTUELLES ASSISTANCE - IMA,433240991,In Pipe,http://www.ima.eu/fr/index.php,False,https://fr.linkedin.com/company/inter-mutuelles-assistance_2
228,228,228,228,LES MUTUELLES DU SOLEIL,782649883,Not in Pipe,https://www.mutuellesdusoleil.fr/,False,https://www.linkedin.com/company/mutuelles-du-soleil
229,229,229,229,APREVA MUTUELLE,800820029,Not in Pipe,https://www.apreva.fr/,False,https://fr.linkedin.com/company/aesiomutuelle
230,230,230,230,PROBTP,853009686,Not in Pipe,https://www.probtp.com/,False,https://fr.linkedin.com/company/pro-btp-groupe
231,231,231,231,AXA EN FRANCE,771800042,Not in Pipe,https://www.axa.fr/,False,https://fr.linkedin.com/company/axa-france
232,232,232,232,EULER HERMES FRANCE,799376264,Not in Pipe,https://www.eulerhermes.fr/,False,https://fr.linkedin.com/company/euler-hermes-france
233,233,233,233,GOOGLA,error,In Pipe,erreur,False,https://fr.linkedin.com/company/googla
234,234,234,234,MAIF,844907949,Not in Pipe,https://www.maif.fr/,False,https://www.linkedin.com/company/maif
235,235,235,235,MUTUALITE FRANÇAISE,853152882,Not in Pipe,erreur,False,https://fr.linkedin.com/company/mutualite-francaise
236,236,236,236,RIBEIRO,843702895,Not in Pipe,https://www.ribeiro.fr/,False,https://fr.linkedin.com/company/minicuotasribeiro
237,237,237,237,GROUPE AUDIENS,448323758,Not in Pipe,https://www.audiens.org/accueil.html,False,https://www.linkedin.com/company/audiens
238,238,238,238,CARAC MUTUELLE D'EPARGNE ET DE RETRAITE,326592268,Not in Pipe,https://www.carac.fr/,False,https://fr.linkedin.com/company/mutuelle-epargne-retraite-prevoyance-carac
239,239,239,239,MUTUELLE DE FRANCE PLUS,782814818,Not in Pipe,https://www.francemutuelle.fr/particuliers/mutuelle-plus-quun-mot/activer-mon-compte/,False,https://fr.linkedin.com/company/solimut-mutuelle-de-france
240,240,240,240,PROTECT SA,847765906,Not in Pipe,https://www.commentcamarche.net/contents/279-proteger-son-site-internet-contre-les-contrefacons,False,https://fr.linkedin.com/company/protect-service-sa
241,241,241,241,APICIL LIFE S.A,538611286,Not in Pipe,https://www.groupe-apicil.com/nous-connaitre/organisation/apicil-life/,False,https://www.linkedin.com/company/apicil/life
242,242,242,242,LA REUNION AERIENNE,703002352,Not in Pipe,erreur,False,https://fr.linkedin.com/company/la-reunion-aerienne
243,243,243,243,GEOCOSM,error,In Pipe,https://fr.kompass.com/c/geocosm-sa/ch845892/,True,https://www.linkedin.com/company/grable-services-llc
244,244,244,244,DARVA,437698632,Not in Pipe,http://www.darva.com/,False,https://fr.linkedin.com/company/corporatespecialrisks
245,245,245,245,MSA DU VAR,782649883,Not in Pipe,https://provenceazur.msa.fr/,False,https://fr.linkedin.com/company/msa-du-var
246,246,246,246,SPB SERVICES,849951421,Not in Pipe,https://rueducommerce.spb-services.eu/mentions_legales,False,https://fr.linkedin.com/company/spb-services-limited
247,247,247,247,MACIF,781452511,Not in Pipe,https://www.macif.fr/assurance/particuliers,False,https://fr.linkedin.com/company/macif
