,Unnamed: 0,Unnamed: 0.1,name,siren,in pipe ?,web,ban
102,102,102,MALAKOFF MEDERIC HUMANIS,853995249,Not in Pipe,http://www.malakoffmederic.com/index.jsp/particuliers/retraite-epargne/index.jsp,False
103,103,103,GROUPE PREVOIR,329223952,Not in Pipe,https://www.prevoir.com/,False
104,104,104,GROUPE UNEO,792631954,Not in Pipe,https://www.groupe-uneo.fr/,False
105,105,105,EQUAD RCC,317780153,In Pipe,https://www.equad.fr/,False
106,106,106,ALAPONT GROUP,381026400,Not in Pipe,https://alapont.com/fr/,False
107,107,107,IDENTITES MUTUELLE,379655541,Not in Pipe,erreur,False
108,108,108,OPPBTP,error,In Pipe,https://www.oppbtp.com/,False
109,109,109,MUTUELLE DES ARCHITECTES FRANÇAIS ASSURANCES,477672646,Not in Pipe,erreur,False
110,110,110,GMF ASSURANCES - GROUPE COVEA,398972901,Not in Pipe,https://www.gmf.fr/qui-sommes-nous/portrait/covea,False
111,111,111,ACTA ASSISTANCE,851243766,Not in Pipe,https://www.acta-assistance.com/,False
112,112,112,DIRECT ASSURANCE,525398830,Not in Pipe,https://www.direct-assurance.fr/,False
113,113,113,AXA,799754072,Not in Pipe,https://www.axa.fr/,False
114,114,114,I2C CONSTRUCTION,808242499,Not in Pipe,https://www.i2c-construction.com/,False
115,115,115,KLESIA,822768941,Not in Pipe,https://www.klesia.fr/accedez-votre-espace-client,False
116,116,116,GROUPAMA,315213751,Not in Pipe,https://www.groupama.fr/,False
117,117,117,IFFPF,410457378,Not in Pipe,http://institut-du-funeraire.com/,False
118,118,118,ACORIS MUTUELLES,780004099,Not in Pipe,erreur,False
119,119,119,MUTUELLE PREVIFRANCE,776950669,Not in Pipe,erreur,False
120,120,120,AMPLI MUTUELLE,390815710,Not in Pipe,https://www.ampli.fr/,False
121,121,121,MUTUELLES DU SOLEIL,782649883,Not in Pipe,https://www.mutuellesdusoleil.fr/,False
122,122,122,GROUPE AGPM,834846099,Not in Pipe,https://www.groupe-agpm.fr/,False
123,123,123,SPB GROUP,853217503,Not in Pipe,https://www.spb.eu/fr/,False
